semantic_relation_id	semantic_reference_source_id	relation_type	relation_layer	subject_node_id	object_node_id	source_term_sha256	normalized_term_sha256	definition_or_category_sha256	source_locator_or_restricted_pointer	source_artifact_sha256	support_role	evidence_authority	rights_state	raw_definition_published
semantic-relation:008708d660fb3f5078d3be45	semantic-reference.pmc13163763	EXPLICIT_DEFINITION_MATCH	LEXICAL_DEFINITION	semantic-reference-term:aee05186f4b1ec26f4ca95ff	semantic-reference-definition:a5f40a3e7f5b4c19c150c5c4	c5f0b537b8a07709420d9b23b8576e978cf658f96b852ba0bd8d45800499e53d	aee05186f4b1ec26f4ca95ff09d8b943073b23a9e934d32746ec07fbc695dedc	a5f40a3e7f5b4c19c150c5c49e8489de9387930ebe68ca6d5614b5dcf9d9fb8d	PMC13163763#table-2-row-22	c7343836d0bad771d5d43a142d1167038464473e5e974d3ad2a449958170c68b	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-relation:01b58f0509a0cdc1ca464756	semantic-reference.pmc8774372	EXPLICIT_DEFINITION_MATCH	LEXICAL_DEFINITION	semantic-reference-term:8d384862d81b7c6531ba6ce3	semantic-reference-definition:45e29435b26ee1216feadca7	29738777ed1b18dfce10595e11a43c7c3d8c0bdadfd3e44db83a5d98ba38df75	8d384862d81b7c6531ba6ce3ab1078a4b630d69399ff46b9149987b2469f2168	45e29435b26ee1216feadca7b2c5ae6e214007ad0ab742fea15a1b62cd9a33fb	PMC8774372#table-3-row-1	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-relation:0219c2523baedbad724f0b46	semantic-reference.pmc11675256	EXPLICIT_DEFINITION_MATCH	LEXICAL_DEFINITION	semantic-reference-term:bbe8e9531e011540d71bdd2b	semantic-reference-definition:406b76b3485ffe64a68f8c1e	7602628cc17b825f82cb7eb2d18eca39f7c0b14efd9467ee8d604006e27049d2	bbe8e9531e011540d71bdd2ba9addd73edf7e56313c446d5cf014f09e4e42eb1	406b76b3485ffe64a68f8c1e666e9c23889c0f28fa3ae3a8535f08394478ceb4	PMC11675256#table-1-row-22	425aefaa6a6b1f5558b7b271912f7a7675ed16b5bfc8be65451e879771eb4375	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-relation:04c293a37f154de39e061dc8	semantic-reference.pmc8774372	EXPLICIT_DEFINITION_MATCH	LEXICAL_DEFINITION	semantic-reference-term:fe792cea8dc0f31ad356a74f	semantic-reference-definition:186914c98f42429655e0d075	9c4325336279dd59a28bac4f9ff12fb2a2cb8893e1678b282a6fd63d4cddd7b9	fe792cea8dc0f31ad356a74f3c9881099a45804b9a203972955b17d3585a7e18	186914c98f42429655e0d075df579c21f949d56ec72e75ab55c7ccfdd6457e6f	PMC8774372#table-3-row-11	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-relation:05bbaa1f75ff00fdb64b2dc9	semantic-reference.pmc6776322	EXPLICIT_BROADER_NARROWER	CONCEPT_HIERARCHY	semantic-reference-term:9aa26756cc9def1c1f971640	semantic-reference-definition:28a89b7b4f78e8f1b9a44b68	9aa26756cc9def1c1f971640932ea1ba3bec7e19085b47519d58bda30b21a773	9aa26756cc9def1c1f971640932ea1ba3bec7e19085b47519d58bda30b21a773	28a89b7b4f78e8f1b9a44b68ec2d3b42398262b2c640bbfe00f7453849195053	PMC6776322#table-2-column-6	8d4cb6ce053b964f650090b9e7a8d8222dab49a661622762f92bc2098c15c163	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-relation:070b7d760c00e8ef8c7de967	semantic-reference.pmc13279845	EXPLICIT_DEFINITION_MATCH	LEXICAL_DEFINITION	semantic-reference-term:5b5823959509cc8aeb7792d5	semantic-reference-definition:63a62e3f65a06b5598b9b46a	faf04737b3237625d5d9480501fd929176b0169e47246fd6371d423fdecca963	5b5823959509cc8aeb7792d5ca869fa11e7e4cbf0b238e056cb37f84edbaa230	63a62e3f65a06b5598b9b46a3009d0c932b689adf1d19f76a17771931fd91063	PMC13279845#table-1-row-20	8d961983b5a647afc5aea9fa7983f4ccc54da96d523bf1f80332cdc2d94379d6	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-relation:0935d9e8548076a89dd92489	semantic-reference.pmc11675256	EXPLICIT_DEFINITION_MATCH	LEXICAL_DEFINITION	semantic-reference-term:8bd1c5cb837eb8a4bf13bb88	semantic-reference-definition:36170bce1dd30f06de8e4a58	537a07ac13e7d35d575e8e72683f16d3f6437ece174b0bdc2c81a535566b9a0b	8bd1c5cb837eb8a4bf13bb88f8a7922d84d2b98b192bc698e1a8058d0a97e0fd	36170bce1dd30f06de8e4a58fcd795e837b6167ab4acca31b052a898ad0653d0	PMC11675256#table-1-row-5	425aefaa6a6b1f5558b7b271912f7a7675ed16b5bfc8be65451e879771eb4375	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-relation:0ad1f33433378711998619f1	semantic-reference.pmc13279845	EXPLICIT_DEFINITION_MATCH	LEXICAL_DEFINITION	semantic-reference-term:df37a9a639acebf1d9bb4316	semantic-reference-definition:0447c5498890fa9c5732586b	73352881cad5a543a01dce4fee30c415ad0f1ba1a02d37fca4f9cd276b3054a9	df37a9a639acebf1d9bb431662588fe2ea0c754ff6239f80f74f9cc54cc52941	0447c5498890fa9c5732586b467dc855e36c2a9edb05a7ba1f997f9e5eaecfe4	PMC13279845#table-1-row-10	8d961983b5a647afc5aea9fa7983f4ccc54da96d523bf1f80332cdc2d94379d6	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-relation:0c1ebba1ac81db0b073dd0c3	semantic-reference.pmc11675256	EXPLICIT_DEFINITION_MATCH	LEXICAL_DEFINITION	semantic-reference-term:079f66fe293cb1a6185d5588	semantic-reference-definition:f884529e44dcb0a1c5457825	e45c8020c9c159ec9e22e890cbab366926bf49038fb20059a79bf0926183dcfd	079f66fe293cb1a6185d5588b13eaadb30475f9c3c6e47495fccfcedbbff7bfc	f884529e44dcb0a1c5457825389838ab78557864613174d5e731ad763d438242	PMC11675256#table-1-row-17	425aefaa6a6b1f5558b7b271912f7a7675ed16b5bfc8be65451e879771eb4375	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-relation:0cb9b11b2838facf58874cf0	semantic-reference.pmc13163763	EXPLICIT_DEFINITION_MATCH	LEXICAL_DEFINITION	semantic-reference-term:8bd1c5cb837eb8a4bf13bb88	semantic-reference-definition:8fd1be1dc2677ca46a5472c7	6185222ffd242c3c69caff8d94c51c36df97ef9d3ae0d82f967e7e650ab9b717	8bd1c5cb837eb8a4bf13bb88f8a7922d84d2b98b192bc698e1a8058d0a97e0fd	8fd1be1dc2677ca46a5472c7d6b049450eee1b1c2f2a6daa345f11194d251639	PMC13163763#table-2-row-8	c7343836d0bad771d5d43a142d1167038464473e5e974d3ad2a449958170c68b	EXPLICIT_PROFESSIONAL_REFERENCE	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
