dataset	stage	perturbation	independent_groups	conditions	mean_standardized_error_increase	paired_group_95_interval	truth_unchanged	status	reason	c0_replacements
iswaldi_chemical	CONTEXT_ONLY_SOURCE_NATIVE	correct	2	12	0.0	[0.0, 0.0]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.cold_extraction"", ""preparation.family.filter_percolation -> preparation.family.filter_percolation""]"
iswaldi_chemical	CONTEXT_ONLY_SOURCE_NATIVE	c0_other_observed	2	12	0.3831434903268675	[0.3643757609656833, 0.4019112196880517]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.filter_percolation"", ""preparation.family.filter_percolation -> preparation.family.cold_extraction""]"
iswaldi_chemical	CONTEXT_ONLY_SOURCE_NATIVE	c1_native_adjacent	2	12	0.27221358518655736	[0.1878473253171873, 0.35657984505592744]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.cold_extraction"", ""preparation.family.filter_percolation -> preparation.family.filter_percolation""]"
iswaldi_chemical	CONTEXT_ONLY_SOURCE_NATIVE	c1_native_far	2	12	0.4274548464997956	[0.34279173112540234, 0.5121179618741888]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.cold_extraction"", ""preparation.family.filter_percolation -> preparation.family.filter_percolation""]"
iswaldi_chemical	CONTEXT_ONLY_SOURCE_NATIVE	both_native_changed	2	12	0.7350282942242653	[0.6760388130588876, 0.794017775389643]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.filter_percolation"", ""preparation.family.filter_percolation -> preparation.family.cold_extraction""]"
iswaldi_consumer_sensory	CONTEXT_ONLY_SOURCE_NATIVE	correct	2	12	0.0	[0.0, 0.0]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.cold_extraction"", ""preparation.family.filter_percolation -> preparation.family.filter_percolation""]"
iswaldi_consumer_sensory	CONTEXT_ONLY_SOURCE_NATIVE	c0_other_observed	2	12	0.41991304834081844	[0.4153245072623062, 0.42450158941933075]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.filter_percolation"", ""preparation.family.filter_percolation -> preparation.family.cold_extraction""]"
iswaldi_consumer_sensory	CONTEXT_ONLY_SOURCE_NATIVE	c1_native_adjacent	2	12	0.5557560777529338	[0.4904732126902844, 0.6210389428155831]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.cold_extraction"", ""preparation.family.filter_percolation -> preparation.family.filter_percolation""]"
iswaldi_consumer_sensory	CONTEXT_ONLY_SOURCE_NATIVE	c1_native_far	2	12	0.8049535494199083	[0.75837103341158, 0.8515360654282366]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.cold_extraction"", ""preparation.family.filter_percolation -> preparation.family.filter_percolation""]"
iswaldi_consumer_sensory	CONTEXT_ONLY_SOURCE_NATIVE	both_native_changed	2	12	0.9672123048422276	[0.8921452911288044, 1.042279318555651]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.filter_percolation"", ""preparation.family.filter_percolation -> preparation.family.cold_extraction""]"
stanek_chemical	CONTEXT_ONLY_SOURCE_NATIVE	correct	6	18	0.0	[0.0, 0.0]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.cold_extraction"", ""preparation.family.filter_percolation -> preparation.family.filter_percolation""]"
stanek_chemical	CONTEXT_ONLY_SOURCE_NATIVE	c0_other_observed	6	18	0.07138469438668706	[-0.009899355843282475, 0.13571299573183238]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.cold_extraction -> preparation.family.filter_percolation"", ""preparation.family.filter_percolation -> preparation.family.cold_extraction""]"
stanek_chemical	CONTEXT_ONLY_SOURCE_NATIVE	c1_native_adjacent	0	0		null	True	NOT_ESTIMABLE	No source roast contrast or verified category	[]
stanek_chemical	CONTEXT_ONLY_SOURCE_NATIVE	c1_native_far	0	0		null	True	NOT_ESTIMABLE	No source roast contrast or verified category	[]
stanek_chemical	CONTEXT_ONLY_SOURCE_NATIVE	both_native_changed	0	0		null	True	NOT_ESTIMABLE	No source roast contrast or verified category	[]
vezzulli_panel	CONTEXT_ONLY_SOURCE_NATIVE	correct	2	8	0.0	[0.0, 0.0]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.espresso_pressure -> preparation.family.espresso_pressure"", ""preparation.family.filter_percolation -> preparation.family.filter_percolation"", ""preparation.family.stovetop_boiled -> preparation.family.stovetop_boiled""]"
vezzulli_panel	CONTEXT_ONLY_SOURCE_NATIVE	c0_other_observed	2	8	0.36679306810354684	[0.3596490052285639, 0.3739371309785298]	True	SOURCE_NATIVE_SENSITIVITY_INCONCLUSIVE	Legally encoded source-native sensitivity, not seven-bin product error distribution	"[""preparation.family.espresso_pressure -> preparation.family.filter_percolation"", ""preparation.family.filter_percolation -> preparation.family.espresso_pressure"", ""preparation.family.stovetop_boiled -> preparation.family.espresso_pressure""]"
vezzulli_panel	CONTEXT_ONLY_SOURCE_NATIVE	c1_native_adjacent	0	0		null	True	NOT_ESTIMABLE	No source roast contrast or verified category	[]
vezzulli_panel	CONTEXT_ONLY_SOURCE_NATIVE	c1_native_far	0	0		null	True	NOT_ESTIMABLE	No source roast contrast or verified category	[]
vezzulli_panel	CONTEXT_ONLY_SOURCE_NATIVE	both_native_changed	0	0		null	True	NOT_ESTIMABLE	No source roast contrast or verified category	[]
PRODUCTION_SEVEN_BIN	CONTEXT_ONLY	C1_adjacent_one_of_seven	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	CONTEXT_ONLY	C1_multiple_of_seven	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	CONTEXT_ONLY	correct_C0_C1	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	AFTER_Q0_Q1	C1_adjacent_one_of_seven	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	AFTER_Q0_Q1	C1_multiple_of_seven	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	AFTER_Q0_Q1	correct_C0_C1	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	AFTER_CORRECTION	C1_adjacent_one_of_seven	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	AFTER_CORRECTION	C1_multiple_of_seven	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	AFTER_CORRECTION	correct_C0_C1	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	AFTER_FINAL_COMPARISON	C1_adjacent_one_of_seven	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	AFTER_FINAL_COMPARISON	C1_multiple_of_seven	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
PRODUCTION_SEVEN_BIN	AFTER_FINAL_COMPARISON	correct_C0_C1	0	0		null	True	NOT_ESTIMABLE	No verified seven-bin roast mapping or independent context+answer trajectory. Source-native and actual seven-bin perturbations are not interchangeable.	[]
