kind	slot_or_policy	records	groups	observed_recovery_ndcg5	marginal_or_removal_delta	interval	status	scope	mean_full_chain_ms	coverage	question_count	option_budget
ANSWER_REMOVAL	Q0	211	187	0.4867642319639634	0.050161462696462024	[0.027642775400282635, 0.07383512624501097]	IMPROVEMENT_SUPPORTED	DEVELOPMENT_RECORD_RECOVERY_PROXY				
ANSWER_REMOVAL	Q1	211	187	0.5369256946604254	0.0	[0.0, 0.0]	INCONCLUSIVE	DEVELOPMENT_RECORD_RECOVERY_PROXY				
ANSWER_REMOVAL	Q2	211	187	0.508119579760545	0.02880611489988044	[0.014532777549050477, 0.04526924565628346]	IMPROVEMENT_SUPPORTED	DEVELOPMENT_RECORD_RECOVERY_PROXY				
ANSWER_REMOVAL	Q3	211	187	0.5009532427257304	0.035972451934695095	[0.01873356977189155, 0.055452461073679404]	IMPROVEMENT_SUPPORTED	DEVELOPMENT_RECORD_RECOVERY_PROXY				
ANSWER_REMOVAL	Q4	211	187	0.5069577928429365	0.029967901817488936	[0.016128428365411927, 0.0457715118569515]	IMPROVEMENT_SUPPORTED	DEVELOPMENT_RECORD_RECOVERY_PROXY				
FEATURE_REMOVAL	NO_C0	211	187			null	NOT_ESTIMABLE	DEVELOPMENT_RECORD_RECOVERY_PROXY				
FEATURE_REMOVAL	NO_C1	211	187			null	NOT_ESTIMABLE	DEVELOPMENT_RECORD_RECOVERY_PROXY				
FEATURE_REMOVAL	NO_CLUSTER	211	187	0.5369256946604254	0.0	[0.0, 0.0]	INCONCLUSIVE	DEVELOPMENT_RECORD_RECOVERY_PROXY				
FEATURE_REMOVAL	NO_INTERACTION	211	187	0.5355208410660222	0.0014048535944032965	[-0.0023276314240011802, 0.005235301180791402]	INCONCLUSIVE	DEVELOPMENT_RECORD_RECOVERY_PROXY				
FEATURE_REMOVAL	NO_SEMANTIC	211	187	0.4115795727266788	0.1253461219337467	[0.09992374720151621, 0.15188833908954638]	IMPROVEMENT_SUPPORTED	DEVELOPMENT_RECORD_RECOVERY_PROXY				
PREFIX	CONTEXT	211	187	0.4115795727266788		null	NOT_ESTIMABLE	DEVELOPMENT_RECORD_RECOVERY_PROXY				
PREFIX	Q0	211	187	0.40902817799255636	-0.0025513947341224193	[-0.03442557392561765, 0.02879045047411596]	INCONCLUSIVE	DEVELOPMENT_RECORD_RECOVERY_PROXY				
PREFIX	Q1	211	187	0.40902817799255636	0.0	[0.0, 0.0]	INCONCLUSIVE	DEVELOPMENT_RECORD_RECOVERY_PROXY				
PREFIX	Q2	211	187	0.4678202116936461	0.05879203370108983	[0.03467899709146665, 0.08460011262047126]	IMPROVEMENT_SUPPORTED	DEVELOPMENT_RECORD_RECOVERY_PROXY				
PREFIX	Q3	211	187	0.5069577928429365	0.039137581149290335	[0.022027896369598114, 0.05843067718595919]	IMPROVEMENT_SUPPORTED	DEVELOPMENT_RECORD_RECOVERY_PROXY				
PREFIX	Q4	211	187	0.5369256946604254	0.029967901817488936	[0.016128428365411927, 0.0457715118569515]	IMPROVEMENT_SUPPORTED	DEVELOPMENT_RECORD_RECOVERY_PROXY				
POLICY	fixed	211	187	0.5348493103999736	0.0	[0.0, 0.0]	INCONCLUSIVE	PROXY_POLICY_SIMULATION	38.11645293658111	1.0	5	20
POLICY	random	211	187	0.49640285327863115	-0.03844645712134248	[-0.06306232442071501, -0.014804496245738603]	NO_IMPROVEMENT	PROXY_POLICY_SIMULATION	37.435508447071726	1.0	5	20
POLICY	one_step	211	187	0.5381926456618837	0.003343335261910166	[-0.002052448071999797, 0.010508724421199715]	INCONCLUSIVE	PROXY_POLICY_SIMULATION	296.150771893541	1.0	5	20
POLICY	two_step	211	187	0.5394092821432328	0.004559971743259181	[-0.0011060689869232356, 0.012478353722261533]	INCONCLUSIVE	PROXY_POLICY_SIMULATION	2476.385371237221	1.0	5	20
