post30k_effective_record_id	post30k_coffee_identity_id	post30k_source_locator	post30k_year_id	post30k_descriptor_bundle_sha256	old_domain_candidate_count	candidate_effective_record_id	candidate_year_id	candidate_name_sha256	candidate_descriptor_bundle_sha256	name_token_overlap	year_exact	descriptor_bundle_exact	match_state	identity_merge_authorized	decision_basis
effective-b2:000127085b6f202287f44dd5	coffee-b2:6441a7ad07a502f77a151cf9	https://farmdirectory.cupofexcellence.org/listing/2-la-torre-costa-rica-2024-dry/	year.2024	f9f545dc7a83e989a2764c88d62f4c6fdc57cbfb3f4cb42fda7165b96779f00e	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:0137fdadc40b40d19bb530a9	coffee-b2:fad961b47fc67f06dc9ad20b	https://farmdirectory.cupofexcellence.org/listing/15-el-poste-nicaragua-2024/	year.2024	977f97d0727ac63c82bfe117e8194c68f824e9d6324633ba93fcb1f7e24bd12b	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:026db580586578bf299db70b	coffee-b2:a207e8c781472cbc0396426c	https://farmdirectory.cupofexcellence.org/listing/13-alto-san-jose-2023/	year.2023	fca71e20f58b0613e63e264288c019a1875387c95cf6c1b4ca02a85678ce73fe	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:0351fd6ef9cbf1c7c641332c	coffee-b2:b2647bf781ac6f9403809a93	https://farmdirectory.cupofexcellence.org/listing/15-la-colmena-honduras-2024/	year.2024	a50696cec8d7943ec0b6544c83cb28cef3e737a509e2101b83715969dc879525	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:036385a7f58802e092e4d0e4	coffee-b2:ef6a55c9e72739804ed2c642	https://farmdirectory.cupofexcellence.org/listing/4-fazenda-santo-antonio-brazil-2023-experimental/	year.2023	a83585c030051a0cd9ebdfd07767789aaaa8c29a3ac1759443d8ab04a0b45cb4	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:03c6ef8a513a4e789f381323	coffee-b2:48b63c77cd7db8690ed5c0c6	https://farmdirectory.cupofexcellence.org/listing/nw-helvetia-el-salvador-2024-experimental/	year.2024	d4a52f947dcf54de6dd6b1830425011a34fef6f66f38fc9d0d8dcddd2a71c8ea	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:04a11e3d3e5a2d4c015cf94d	coffee-b2:6e6b4772e23873fb1d4f239d	https://farmdirectory.cupofexcellence.org/listing/7-buenos-aires-nicaragua-2024/	year.2024	b837c981e726a9f67ff0ab917b9e82edb59ceb72d28c8ea1ed73f1a27484f868	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:05ec673a8248ee715c2e57c5	coffee-b2:4dc1d1990770b6821056a223	https://farmdirectory.cupofexcellence.org/listing/3-monte-llano-bonito-el-kinkajou-costa-rica-2024-experimental/	year.2024	bacc92bed817ca4b18155236280ea384aa674d186880abc25237516b2ae419dd	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:0646be6c1077ba092bd47fcd	coffee-b2:03e3cd59355a60febdf73626	https://farmdirectory.cupofexcellence.org/listing/16-de-la-coffee-farm-nicaragua-2024/	year.2024	ae03260244ba5ae745315682646123964e27b55bd5a1b24239fb1f14e804e901	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:0903833b06a2d3f570627c93	coffee-b2:d2a36eb1fc54d5adc406407d	https://farmdirectory.cupofexcellence.org/listing/26-alto-mirador-peru-2023/	year.2023	834a47964515bbcdff8bca99b57700197b9506624fbcaf3e0df91450d92833ed	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:09b01027f21141a35f096bb0	coffee-b2:67a6017cd84e89df0f38d36f	https://farmdirectory.cupofexcellence.org/listing/3-sitio-santa-luzia-brazil-2023-dry/	year.2023	1a92cfe49f7868d6ed735c8651a2c70ae567b593413e71b0d3228f23e8f06eea	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:0a05be8eb3b72ef94a472f41	coffee-b2:7d92d0f393ed09cfde3fad06	https://farmdirectory.cupofexcellence.org/listing/24-yireh-honduras-2024/	year.2024	91ab1a940994a60df79b6ef640086e04c44040daae7e9b9b83270a5c1da1ef85	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:0b675894ca4bd5e2f76cc166	coffee-b2:2810037cf43bedab8018b9db	https://farmdirectory.cupofexcellence.org/listing/nw-sitio-da-serra-coffee-brazil-2023/	year.2023	d1e097b3edd4472fb993b9cc7dd2239773a77de05dd066cb668317e8437f54ec	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:0d72475517d069d72d47e856	coffee-b2:13bcc83cb48fe9b0b3c17938	https://farmdirectory.cupofexcellence.org/listing/10-el-guacalito-nicaragua-2024/	year.2024	e6ddd493abf8bfbda07ce42a71b6a62fc089e4d6deeee0ea441c57b15c5c597c	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:0eeaf2925a4a2026abd698c7	coffee-b2:f92e5a43930ae8bd7912c602	https://farmdirectory.cupofexcellence.org/listing/7-el-angel-el-salvador-2024-experimental/	year.2024	7ac4b9283f38e4e49df99279e492d5ffb6349e6eac24c3f071b6813f7cf30b71	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:0f52f5172701d4cc6aabe035	coffee-b2:0851ab5a4cb0f8b83bedf4de	https://farmdirectory.cupofexcellence.org/listing/3-los-pirineos-el-salvador-2024-experimental/	year.2024	98fb62200916a1a6308ee1a35b458cc7bb921e71705586d8f4da22bfa8705755	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:12dd95f1254674eca00056fc	coffee-b2:3998d3b2a989ad72276cb199	https://farmdirectory.cupofexcellence.org/listing/14-la-carolina-ecuador-2023/	year.2023	d169d0e29d43296b06ce69d66afe3d4b6d8a7dd30e7303c493238400a25bd5af	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:13c673b4db5141bfcd567eaf	coffee-b2:204918ff2947edaa866b5ac3	https://farmdirectory.cupofexcellence.org/listing/14-la-esmeralda-honduras-2024/	year.2024	b6e83913c0a3d27f137e8318f6aa902b90cdd0698671766315e72fef91c44688	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:14b24fdd88edbb57f257fd89	coffee-b2:ba1c1c8dc06e90721ac6ef1c	https://farmdirectory.cupofexcellence.org/listing/7-ecoagricola-cafe-brazil-2023-dry/	year.2023	022394ae161d1249f96e0c484cbb6fafe9a9a971853d1f0b2b829204bb5a6f70	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:1733d9f4ea71bda3f0d7bd7a	coffee-b2:e7dc062620a63b76131b8cc9	https://farmdirectory.cupofexcellence.org/listing/7-sitio-aguas-claras-brazil-2023-experimental/	year.2023	30c6db260614acfe62ec14bf2502f743e4c1aa558f2dd8ae9d155b6b5c10fd8f	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:17714b9da52638a43f3ff273	coffee-b2:aa82acb8ae2cf4923faefcdc	https://farmdirectory.cupofexcellence.org/listing/8-el-pital-el-salvador-2024-dry/	year.2024	8d675b1bb70e8f514f79d0b27930dc47bb31d13cf6a780946dbe0b3424117b64	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:17cbced8e6705c240edf08e1	coffee-b2:dbd95e629c3dda7a3ffdf267	https://farmdirectory.cupofexcellence.org/listing/nw-justino-huaman-peru-2023/	year.2023	259447b168db89a1de236ad3bbaced383101f787ac91ed9481924f42aa67a850	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:1a2e7b2560d0ec9822ee115b	coffee-b2:536744556184aecf16e99bfa	https://farmdirectory.cupofexcellence.org/listing/5-las-virginias-honduras-2024/	year.2024	d88ddfd0d32210e492a62cffdfcd32b750bee747312e774e471895f7b92c121c	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
effective-b2:1d162f1bc41e1cba765791bc	coffee-b2:248e79f9b3192f689db6429b	https://farmdirectory.cupofexcellence.org/listing/2-el-mango-honduras-2024/	year.2024	0800bc63b62dc3dc441d2b5464dbce4a65690856c21ba9b8ab985de049c9b418	0					NA_NO_CANDIDATE	false	false	NO_CANDIDATE	false	NO_CROSS_DOMAIN_CANDIDATE_FOUND_URL_YEAR_NAME_OR_DESCRIPTOR_BUNDLE_NOT_INFERRED
