id	type	status	condition	scope	action	training_group_support	held_Q4_active_records	candidate_effect_direction	training_evidence_group_hash	revision_rule
R3_K1_CONTRACT	HARD_CONTRACT	SUPPORTED_WITHIN_SCOPE	C0_8_C1_7_ORDINARY_MAX4_OPTIONS_Q4_CLOSURE_ONE_FINAL_3_TO_8		REJECT_INVALID_CONTRACT_ONLY					New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
R3_K1_ENTAILMENT	SEMANTIC_ENTAILMENT	SUPPORTED_WITHIN_SCOPE	CANONICAL_POSITIVE_PARENT_OR_FINE_CONCEPT	REGISTERED_SEMANTICS_NOT_NEW_SENSORY_MEASUREMENT	R1_EVIDENCE_ONCE_PARENT_NEVER_CHILD_ABSENCE_COMPOUND_WHOLE					New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
R3_PAIRS_0_0	EMPIRICAL_COMPATIBILITY	SUPPORTED_WITHIN_SCOPE	"[{""axis"": ""broad.initial0"", ""offered"": [[""broad"", ""attribute.fruity"", ""fruity""], [""broad"", ""attribute.nutty_cocoa"", ""nutty_cocoa""], [""broad"", ""attribute.roasted"", ""roasted""], [""broad"", ""attribute.sweet"", ""sweet""]], ""selected"": [""attribute.fruity""], ""slot"": ""Q0""}, {""axis"": ""refine.fruity"", ""offered"": [[""specific"", ""sensory.apple"", ""fruity""], [""specific"", ""sensory.cherry"", ""fruity""], [""specific"", ""sensory.grape"", ""fruity""], [""specific"", ""sensory.orange"", ""fruity""]], ""selected"": [""sensory.apple""], ""slot"": ""Q2""}]"	TRAIN_GROUP_CONDITIONAL_MENTION_RETRIEVAL_NOT_CAUSAL_OR_ABSENCE		4	0	"{""sensory.caramel"": ""INCREASE_SOFT_PRIORITY""}"	fc3ffc57b5ad7b977102fab9e24c81b6961e2a0ab8459f7cede503aa5e5bd35a	New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
R3_PAIRS_0_1	EMPIRICAL_COMPATIBILITY	SUPPORTED_WITHIN_SCOPE	"[{""axis"": ""broad.initial0"", ""offered"": [[""broad"", ""attribute.fruity"", ""fruity""], [""broad"", ""attribute.nutty_cocoa"", ""nutty_cocoa""], [""broad"", ""attribute.roasted"", ""roasted""], [""broad"", ""attribute.sweet"", ""sweet""]], ""selected"": [""attribute.nutty_cocoa"", ""attribute.sweet""], ""slot"": ""Q0""}, {""axis"": ""broad.initial1"", ""offered"": [[""broad"", ""attribute.floral"", ""floral""], [""broad"", ""attribute.green_vegetative"", ""green_vegetative""], [""broad"", ""attribute.sour_fermented"", ""sour_fermented""], [""broad"", ""attribute.spices"", ""spices""]], ""selected"": [""attribute.green_vegetative""], ""slot"": ""Q1""}]"	TRAIN_GROUP_CONDITIONAL_MENTION_RETRIEVAL_NOT_CAUSAL_OR_ABSENCE		4	0	"{""sensory.cocoa"": ""INCREASE_SOFT_PRIORITY""}"	7682b5e7df50f525073f060154718d3d6ed2a6fdf304f75a01d33a5540ac5c90	New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
R3_TRIGGER_A_0	LEARNED_QUESTION_TRIGGER	SUPPORTED_WITHIN_SCOPE	Q2_AFTER_CURRENT_ANSWERS_ONLY		ASK_Q3_IF_GAIN_GT_0.01_ELSE_SKIP_TO_Q4					New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
R3_TRIGGER_B_0	SEPARATE_RELATION_ACTIVATION_TRIGGER	PROPOSED	Q2_AFTER_CURRENT_ANSWERS_ONLY		SEPARATE_ALWAYS_ASK_PATH_ACTIVATE_RELATION_IF_SUPPORTED_AND_GAIN_GT_0					New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
R3_PAIRS_1_0	EMPIRICAL_COMPATIBILITY	SUPPORTED_WITHIN_SCOPE	"[{""axis"": ""broad.initial0"", ""offered"": [[""broad"", ""attribute.fruity"", ""fruity""], [""broad"", ""attribute.nutty_cocoa"", ""nutty_cocoa""], [""broad"", ""attribute.roasted"", ""roasted""], [""broad"", ""attribute.sweet"", ""sweet""]], ""selected"": [""attribute.fruity"", ""attribute.nutty_cocoa""], ""slot"": ""Q0""}, {""axis"": ""broad.initial1"", ""offered"": [[""broad"", ""attribute.floral"", ""floral""], [""broad"", ""attribute.green_vegetative"", ""green_vegetative""], [""broad"", ""attribute.sour_fermented"", ""sour_fermented""], [""broad"", ""attribute.spices"", ""spices""]], ""selected"": [""attribute.green_vegetative""], ""slot"": ""Q1""}]"	TRAIN_GROUP_CONDITIONAL_MENTION_RETRIEVAL_NOT_CAUSAL_OR_ABSENCE		5	2	"{""sensory.caramel"": ""INCREASE_SOFT_PRIORITY""}"	402369047f81e6f216b1f017943a6280fcc903254ecf730bc14d9d757925e385	New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
R3_TRIGGER_A_1	LEARNED_QUESTION_TRIGGER	SUPPORTED_WITHIN_SCOPE	Q2_AFTER_CURRENT_ANSWERS_ONLY		ASK_Q3_IF_GAIN_GT_0.01_ELSE_SKIP_TO_Q4					New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
R3_TRIGGER_B_1	SEPARATE_RELATION_ACTIVATION_TRIGGER	PROPOSED	Q2_AFTER_CURRENT_ANSWERS_ONLY		SEPARATE_ALWAYS_ASK_PATH_ACTIVATE_RELATION_IF_SUPPORTED_AND_GAIN_GT_0					New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
R3_PAIRS_2_0	EMPIRICAL_COMPATIBILITY	SUPPORTED_WITHIN_SCOPE	"[{""axis"": ""broad.initial0"", ""offered"": [[""broad"", ""attribute.fruity"", ""fruity""], [""broad"", ""attribute.nutty_cocoa"", ""nutty_cocoa""], [""broad"", ""attribute.roasted"", ""roasted""], [""broad"", ""attribute.sweet"", ""sweet""]], ""selected"": [""attribute.fruity""], ""slot"": ""Q0""}, {""axis"": ""broad.initial1"", ""offered"": [[""broad"", ""attribute.floral"", ""floral""], [""broad"", ""attribute.green_vegetative"", ""green_vegetative""], [""broad"", ""attribute.sour_fermented"", ""sour_fermented""], [""broad"", ""attribute.spices"", ""spices""]], ""selected"": [""attribute.green_vegetative""], ""slot"": ""Q1""}]"	TRAIN_GROUP_CONDITIONAL_MENTION_RETRIEVAL_NOT_CAUSAL_OR_ABSENCE		6	0	"{""sensory.caramel"": ""INCREASE_SOFT_PRIORITY""}"	d0eb53233d727dca1435c546e03ef294f0dde05455fb5ea5bcd7dfca54d291b4	New legally acquired answer recomputes compatibility; contract-invalid states alone permit rejection; no low-score hard deletion
