cleaned_lexical_form_sha256	cleaned_lexical_form_or_restricted_pointer	source_language	semantic_class	mapping_state	canonical_concept_id	canonical_concept_label	decision_method	mapping_confidence	assertion_support	gold_support	silver_support	effective_record_support	source_family_count	source_family_ids	year_count	years	source_native_form_count	canonical_status	review_requirement
00211591ce366b871a8d3851499f9441d8c41e944e0f9bf18087b1f343e2d56d	hash:sha256:00211591ce366b871a8d3851499f9441d8c41e944e0f9bf18087b1f343e2d56d	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE			MACHINE_PROVISIONAL_REVIEW	0.000000	1	0	1	1	1	family.ace_cup_of_excellence	1	2024	1	ONTOLOGY_CANDIDATE	MACHINE_PROVISIONAL_REVIEW
0035449412680c15d2fcd33cbdd40e1a361e042d49f718026561045e820bf5ac	hash:sha256:0035449412680c15d2fcd33cbdd40e1a361e042d49f718026561045e820bf5ac	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE			MACHINE_PROVISIONAL_REVIEW	0.000000	3	0	3	3	1	family.ace_cup_of_excellence	3	2013|2017|2019	1	ONTOLOGY_CANDIDATE	MACHINE_PROVISIONAL_REVIEW
007b30c58c7ec5cddea593e684a36d17fa27f24cc69d6301d013e67126cf2071	hash:sha256:007b30c58c7ec5cddea593e684a36d17fa27f24cc69d6301d013e67126cf2071	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE			MACHINE_PROVISIONAL_REVIEW	0.000000	1	0	1	1	1	family.ace_cup_of_excellence	1	2020	1	ONTOLOGY_CANDIDATE	MACHINE_PROVISIONAL_REVIEW
00971891d0a3c857d5d9da31d87975a5fd0f21e6bb4fa4b5a6373a4d9a09587e	hash:sha256:00971891d0a3c857d5d9da31d87975a5fd0f21e6bb4fa4b5a6373a4d9a09587e	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE			MACHINE_PROVISIONAL_REVIEW	0.000000	1	0	1	1	1	family.ace_cup_of_excellence	1	2022	1	ONTOLOGY_CANDIDATE	MACHINE_PROVISIONAL_REVIEW
00bf2a71bb491c2c412609a4154cbe8c0a8e73d6e0bb758c9ceb91f8c4deecd2	hash:sha256:00bf2a71bb491c2c412609a4154cbe8c0a8e73d6e0bb758c9ceb91f8c4deecd2	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE			MACHINE_PROVISIONAL_REVIEW	0.000000	1	0	1	1	1	family.ace_cup_of_excellence	1	2025	1	ONTOLOGY_CANDIDATE	MACHINE_PROVISIONAL_REVIEW
00d11132a27be6114cece1807dcd7259382ba1b7c9414e127de1e61b38a92d94	hash:sha256:00d11132a27be6114cece1807dcd7259382ba1b7c9414e127de1e61b38a92d94	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE			MACHINE_PROVISIONAL_REVIEW	0.000000	4	0	2	4	2	family.ace_cup_of_excellence|family.project_origin	4	2015|2023|2025|2026	2	ONTOLOGY_CANDIDATE	MACHINE_PROVISIONAL_REVIEW
00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	hash:sha256:00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE			MACHINE_PROVISIONAL_REVIEW	0.000000	121	3	117	105	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	16	2008|2009|2012|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	6	ONTOLOGY_CANDIDATE	MACHINE_PROVISIONAL_REVIEW
00dd4700a8e6b3aba2e4bf04dbdf3314eef0060af69e128530416398586ffe0c	hash:sha256:00dd4700a8e6b3aba2e4bf04dbdf3314eef0060af69e128530416398586ffe0c	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE			MACHINE_PROVISIONAL_REVIEW	0.000000	1	0	1	1	1	family.ace_cup_of_excellence	1	2015	1	ONTOLOGY_CANDIDATE	MACHINE_PROVISIONAL_REVIEW
00e9e032c730e844bfd4b87e026e4b05de2738c01ef2d02aeb7291f11b6c901e	hash:sha256:00e9e032c730e844bfd4b87e026e4b05de2738c01ef2d02aeb7291f11b6c901e	en	PROCESS_OR_ORIGIN_METADATA	NON_DESCRIPTOR			AUTOMATED_SAFE_RULE	1.000000	12	0	12	12	1	family.ace_cup_of_excellence	5	2020|2021|2023|2024|2025	3	UNMAPPED	AUTOMATED_SAFE_RULE
00f42b36508dbff43354e9e80f6a4665ca768d20b21c6a0cddda66d3bed7c122	hash:sha256:00f42b36508dbff43354e9e80f6a4665ca768d20b21c6a0cddda66d3bed7c122	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE			MACHINE_PROVISIONAL_REVIEW	0.000000	1	1	0	1	1	family.zenodo_golovinsky_q_grader_dataset	1	2026	1	ONTOLOGY_CANDIDATE	MACHINE_PROVISIONAL_REVIEW
