semantic_audit_id	descriptor_assertion_id	source_family_id	audit_stratum	edition_year	source_field_label	publication_layer	raw_field_text_sha256	atomic_source_text_sha256	panelist_identity_sha256	panelist_sample_observation_sha256	effective_record_id	audit_outcome	valid_atomic	valid_broad	compound	over_segmentation	under_segmentation	non_descriptor_leakage	strict_broad_misclassification	publication_duplicate	audit_method	human_reviewed
semantic-audit:86a5cf65d7c3808410e42988	assertion-b2:000f080b4c62c3acebf908c8	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Bouquet description	JUDGE_LEVEL_OBSERVATION	b84ac2c1cdf42763b318c0ffbf9aa64614a72027406e98fa11a392b79112781a	550b8ce3d164393f314eb1ba5a8cc74face29b90f9c94242c7182c448aa6a4c1	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	7f31b0f41e07b27aecb9d849a414386098efff82eb06ff6e4f53f97b8ba09abf	effective-b2:cc8c82e9549c51a6abcc1175	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:4083f58e442c9e92c254f29b	assertion-b2:0031269daca4864d546aa9cb	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aroma description	JUDGE_LEVEL_OBSERVATION	756e33fcb913da790ea3627a8041845c64213ecaa6c0d24560579ae9604ca701	846d124b6785689c70bc65cf99e0ea2e896349ffeb38cf1b1224b88b3982fe94	3b4bc5f50374933598f3cf2606c5fe8712158cb0e4b7e531b029d5208ba5d107	26897975ada412fbb240b5d2b8cb5f97d29355e37f36f794f2d687404b368181	effective-b2:d686b6b920a0d1f3928945eb	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:ee0a7a12b03472bede64829a	assertion-b2:003beb0e135d984bb5d28f8e	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Bitterness description	JUDGE_LEVEL_OBSERVATION	2f4295e6af43ee092a4496b4fdb06d65fdffa0188fc5a53f916e2dd475e19e42	1b35cfba043c1d10319eaf830c8b0e3ad846e6c2249b2c12a250eea00f281919	96ed759a58ead5fcb842f01e97bcebbc5ce84fc2ab29abeac8eec52dc7fce528	056bf1417a6f1d516e92b1f7c9a63289f60081ceb294d3831b1a7aeee5a69b51	effective-b2:ec51c3631c0cdca66682bd42	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:b9e372e5176e9d3f4f7e59cc	assertion-b2:0057877aab729c80ab1cda10	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aroma description	JUDGE_LEVEL_OBSERVATION	16ff57eca26c7a38a769f1c88b0bafc81a15f2127ed0f6e4f5f1256ee9449ed0	dc9c5edb8b2d479e697b4b0b8ab874f32b325138598ce9e7b759eb8292110622	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	c9845dad844f7b2019c004f91e07fa897e1ec846dfe17850227d61a573278d5e	effective-b2:61e9d27238c9019e0520b29b	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:582cb0144479d92dfb637036	assertion-b2:005ccec8e0c1a58752fe06c4	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Bouquet description	JUDGE_LEVEL_OBSERVATION	4b8f65af8109c9dc6b55380d913acc330371690edb3f699a9a48ce2d8feee6cb	1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	ba4fd0d87468e735b972dfc7275df68df9d7cb796fc0d82a9a78b9a265c9d406	effective-b2:5a5894edb1731d8ba71f03b6	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:d72ad9e315224d366a61419b	assertion-b2:0070d508509308b8dac2164b	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Bitterness description	JUDGE_LEVEL_OBSERVATION	6962366ced396e3948c5709015369a2b93955642dd212b539fb90562bb75a04e	1b35cfba043c1d10319eaf830c8b0e3ad846e6c2249b2c12a250eea00f281919	96ed759a58ead5fcb842f01e97bcebbc5ce84fc2ab29abeac8eec52dc7fce528	d772f23fc730216e7882ccd1563004febd760df79eaf4b0820854df3b0931c8f	effective-b2:d686b6b920a0d1f3928945eb	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:38b5dc5c6cd721fb8e61e261	assertion-b2:007951c5f2276332eab85b76	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Body description	JUDGE_LEVEL_OBSERVATION	ae48e36b6f5018dfec2bae33ed435e8091daeb1905e41c6845f5cb11e2da6800	99a7026172d42714d0293e5598ec1c8e8260d7d0c4b8582ad002c1883494e216	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	2a2d7058a38a41243cd9253a9e8d18e37b85b0c06f477c4024dedaa00f85eb9a	effective-b2:f6aa77e26a9bd04b569431f2	NON_DESCRIPTOR	false	false	false	false	false	true	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:e32b679c569303d6771bc42b	assertion-b2:007a7cd7c9a49b447fcef634	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Sweetness description	JUDGE_LEVEL_OBSERVATION	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	44cb877bfefda99ee386a4b99ec312cf921ea38fb01c0310a2c24316b41c88e8	effective-b2:dd55c85ab0e0cddd7fe8d195	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:cc5dfb2a284594731009ce7d	assertion-b2:007d157183b11292c17e7f85	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Bouquet description	JUDGE_LEVEL_OBSERVATION	4fb8c0c65bbf3ea0bd8cab96be8582c1c742148e3eb4275eed8d4c5395681487	50717f32c5e6289ec1015ff42cc9122b4a6505b22816fe2112e5ca0ac5634a15	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	c42414797e3e248fa38dab3a6a4e286d20bf3a5c553acdee533003418df67a0f	effective-b2:28705b2f691bd7e5f23b8454	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:b5e2112e4674dfad5d79e3cc	assertion-b2:0095ec3f90e9103c78f8d4e9	family.coffee_board_of_india_fine_cup	INDIA_FINE_CUP_ALL	2019	Tasting note	OFFICIAL_AUCTION_LOT_SENSORY_FIELD	c80e009f599b9d4345832fa47bd468392d71ab58382b0a8239887fa133be7a41	8a3834a2e82059166b62fcc7f710cac7a674ac9abeb8115f128f34bea7def96c			effective-b2:b0437771340f30ef5558ccf5	VALID_COMPOSITE_REQUIRES_SPLIT	false	false	true	false	true	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:0ee0bfe6c191d74e9c520fb4	assertion-b2:00a0b4caa2564c0c3863311d	family.project_origin	PROJECT_ORIGIN_ALL	2026	Cupping Notes	PROFESSIONAL_COMMERCIAL_SENSORY_FIELD	4ca4907214379e36c60ad8d02eacfc2ee0ec0f8bfc3d64473144dc8b78c6b36f	c6a8724097f4a7baa3e4338018aacf7ead4d1398409a0e73350bae64d2417729			effective-b2:4f7526d2ffb7a8520de70ef3	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:aa6c9fa20838bf765a6dffe5	assertion-b2:00aa317281417977cb5dd4c0	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Sweetness description	JUDGE_LEVEL_OBSERVATION	184df936d41b2da8d10163ada0ad89d1fa80dfd743f266bcec225e1d392d373f	184df936d41b2da8d10163ada0ad89d1fa80dfd743f266bcec225e1d392d373f	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	c2ea1c8dd89a2905feb19156a3bdc7b680c17a1987e2b3e5bc3592a6e01e1c06	effective-b2:82cceb4598a428b55130191b	NON_DESCRIPTOR	false	false	false	false	false	true	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:38b5f5747d104a727a1b60cd	assertion-b2:00b834bee1e283c57fb51045	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Bouquet description	JUDGE_LEVEL_OBSERVATION	238c85e0de9c27aee021a5f2c39e418b91a7de180c1cc9f52187910896260879	e9664961c84a9974da38803129ebf9ca14db2d1902631408950c49f0eb3201aa	96ed759a58ead5fcb842f01e97bcebbc5ce84fc2ab29abeac8eec52dc7fce528	62256103d44e2fc51639e27deca902acb733b3b9d305098d9451585434c826ab	effective-b2:dbb6d88f4070c314873d5023	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:f37028a0fe61a5818cccdee8	assertion-b2:00bb6c464ee8b6ff20f2dffb	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Sweetness description	JUDGE_LEVEL_OBSERVATION	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	a72d37befd9be374d39d8081553f8594c4a4c8964c02f84def29ee9e7e060464	effective-b2:48db3d3b6dd66ab9e20f4236	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:39f8635a11a2309803591658	assertion-b2:00c038cc11a13342a1871b5a	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aftertaste description	JUDGE_LEVEL_OBSERVATION	938d5d2e6d677f285618386d8a7eaeef468a9484f0a1489e224a6b36c6a64661	4e13036242884ae12e0b35f59714b39c9aa8c90a52ad6d966c20fad7f760c9ca	96ed759a58ead5fcb842f01e97bcebbc5ce84fc2ab29abeac8eec52dc7fce528	d86b79a2ddec24288030e3ee0103199c656fcb9105246f64a8f8e139b20fdefc	effective-b2:66552a0c9bfe8e60cb2740df	VALID_COMPOSITE_REQUIRES_SPLIT	false	false	true	false	true	false	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:d69535e4a1e52441934aeeaa	assertion-b2:00c81b6f457d0e6773f018a4	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aroma description	JUDGE_LEVEL_OBSERVATION	c4b560417f3387644cd67bbf3c71cdba189cb714a3514261a56b4f73218eb3a7	3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b	3b4bc5f50374933598f3cf2606c5fe8712158cb0e4b7e531b029d5208ba5d107	e2a4c4339b287e349bbe34413b3992947f80c739994afae47cb2354822e90419	effective-b2:d8c4851840532c56199ea190	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:96ba19f1ff620b6287fbc90a	assertion-b2:00da34098cee563148bce0ae	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Bouquet description	JUDGE_LEVEL_OBSERVATION	73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	3b4bc5f50374933598f3cf2606c5fe8712158cb0e4b7e531b029d5208ba5d107	9030559a481ef80e92701f1590a118f2232026f0de9cb88599f53d5e350d0906	effective-b2:f6aa77e26a9bd04b569431f2	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:e2c2274d28d8c535ad083d7a	assertion-b2:00dda3d8757930724ce6ef27	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Body description	JUDGE_LEVEL_OBSERVATION	3cd9c1308b8d9a3ea07a0982d140d3b190b312d2c520f71fdb26242b8ac0a016	5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	5fa31756d307beb75f7f01913026f6cbab03dc09390254512d51f3fc37d090fd	effective-b2:5a5894edb1731d8ba71f03b6	VALID_BROAD_SENSORY	false	true	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:25810f3940b120d573b7857a	assertion-b2:00e02c1ba46630ae32ef7157	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aftertaste description	JUDGE_LEVEL_OBSERVATION	9f722528d2a6706359cd6346eabf4352e277489040dc908cbe05d1a445e72002	3313aef6660f7149e6012b667a576beb43d49f1bd6abf26b7068ef58c434d794	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	0028d5bfce73000ef9cb6ab2c5b4552dcd4de459ee10135332fac0b0ff18d5e9	effective-b2:b3d50faeba4f6a2678496ae7	VALID_COMPOSITE_REQUIRES_SPLIT	false	false	true	false	true	false	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:d5d85a9506cadefbc2f8e3df	assertion-b2:00e6182207d46ff047c20b25	family.ace_cup_of_excellence	COE_GOLD_EXPLICIT_JURY	2017	Acidity	PRIMARY_JURY_DESCRIPTION	6b9db2b68f2846af7f56d2b405940c037eb9327a562c9749c273a01c81f411f0	ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76			effective-b2:a1d94718ce6469588b123e9d	NON_DESCRIPTOR	false	false	false	false	false	true	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:0b12799772402d634816c699	assertion-b2:00e8a48940b38627a122b068	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Body description	JUDGE_LEVEL_OBSERVATION	910bd2485893e0be6f517795aa951753b12dea12bfe0414edd72275417c84af5	b5e0eee6e28efca6d6ad05d7b8a94631576037ec9e5ff6d305fe89faa0e1032e	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	399b4206e9c4095e1f2223665e11d529b6851e200dfbb2cbe6e339634e915d44	effective-b2:81ef8e5436f62267dfe57266	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:cd8163bc9033df1b07cc5b83	assertion-b2:00e8e2d46bc6916a12d3af43	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aroma description	JUDGE_LEVEL_OBSERVATION	a6836e35789e2652cb5638838e5a20e9837f14bcd9e8c0f6662342590a68daba	510e9cd005e362235259c1dbb49fe549fa788a63b29535195f9d396f79e9a05b	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	7c638a62878527d5a9fc57330fdc360625e3dd20f6b3a3b217026e7fef7e464b	effective-b2:79476fcb664e34248fb08fe6	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
