record_json
"{""unit"": ""BCP 47 code"", ""data_type"": ""CATEGORY"", ""semantics"": ""Source and response language where reported."", ""limitation"": ""Language code is not bilingual equivalence."", ""feature_key"": ""feature.language"", ""partition_key"": ""partition.baseline.cotter"", ""source_method"": ""Source metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""audit.empirical_coverage_cell + existing Dryad registry"", ""missingness_semantics"": [""NOT_REPORTED"", ""SOURCE_UNKNOWN""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""BCP 47 code"", ""data_type"": ""CATEGORY"", ""semantics"": ""Source and response language where reported."", ""limitation"": ""Language code is not bilingual equivalence."", ""feature_key"": ""feature.language"", ""partition_key"": ""partition.baseline.firstbloom"", ""source_method"": ""Source metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""corpus.corpus_snapshot_source"", ""missingness_semantics"": [""NOT_REPORTED"", ""SOURCE_UNKNOWN""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""BCP 47 code"", ""data_type"": ""CATEGORY"", ""semantics"": ""Source and response language where reported."", ""limitation"": ""Language code is not bilingual equivalence."", ""feature_key"": ""feature.language"", ""partition_key"": ""partition.baseline.liberica"", ""source_method"": ""Source metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""evidence.relationship_source_file"", ""missingness_semantics"": [""NOT_REPORTED"", ""SOURCE_UNKNOWN""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""BCP 47 code"", ""data_type"": ""CATEGORY"", ""semantics"": ""Source and response language where reported."", ""limitation"": ""Language code is not bilingual equivalence."", ""feature_key"": ""feature.language"", ""partition_key"": ""partition.round3h.bollen"", ""source_method"": ""Source metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/bollen_2024_sensory_scores.tsv"", ""missingness_semantics"": [""NOT_REPORTED"", ""SOURCE_UNKNOWN""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""BCP 47 code"", ""data_type"": ""CATEGORY"", ""semantics"": ""Source and response language where reported."", ""limitation"": ""Language code is not bilingual equivalence."", ""feature_key"": ""feature.language"", ""partition_key"": ""partition.round3h.gorman"", ""source_method"": ""Source metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch2/gorman_2021_liking_aggregates.tsv + gorman_2021_cata_terms.tsv"", ""missingness_semantics"": [""NOT_REPORTED"", ""SOURCE_UNKNOWN""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""BCP 47 code"", ""data_type"": ""CATEGORY"", ""semantics"": ""Source and response language where reported."", ""limitation"": ""Language code is not bilingual equivalence."", ""feature_key"": ""feature.language"", ""partition_key"": ""partition.round3h.iswaldi"", ""source_method"": ""Source metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/iswaldi_2026_table3_sensory_aggregates.tsv"", ""missingness_semantics"": [""NOT_REPORTED"", ""SOURCE_UNKNOWN""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""BCP 47 code"", ""data_type"": ""CATEGORY"", ""semantics"": ""Source and response language where reported."", ""limitation"": ""Language code is not bilingual equivalence."", ""feature_key"": ""feature.language"", ""partition_key"": ""partition.round3h.nguyen"", ""source_method"": ""Source metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch2/nguyen_2026_table3_sensory_intensities.tsv + nguyen_2026_table4_consumer_outcomes.tsv"", ""missingness_semantics"": [""NOT_REPORTED"", ""SOURCE_UNKNOWN""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""BCP 47 code"", ""data_type"": ""CATEGORY"", ""semantics"": ""Source and response language where reported."", ""limitation"": ""Language code is not bilingual equivalence."", ""feature_key"": ""feature.language"", ""partition_key"": ""partition.round3h.vezzulli"", ""source_method"": ""Source metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv"", ""missingness_semantics"": [""NOT_REPORTED"", ""SOURCE_UNKNOWN""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""milk mode"", ""data_type"": ""CATEGORY"", ""semantics"": ""Black dairy or plant-alternative matrix context."", ""limitation"": ""Plant alternatives remain named source conditions."", ""feature_key"": ""feature.milk-mode"", ""partition_key"": ""partition.baseline.cotter"", ""source_method"": ""Study context"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""audit.empirical_coverage_cell + existing Dryad registry"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""milk mode"", ""data_type"": ""CATEGORY"", ""semantics"": ""Black dairy or plant-alternative matrix context."", ""limitation"": ""Plant alternatives remain named source conditions."", ""feature_key"": ""feature.milk-mode"", ""partition_key"": ""partition.baseline.liberica"", ""source_method"": ""Study context"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""evidence.relationship_source_file"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""milk mode"", ""data_type"": ""CATEGORY"", ""semantics"": ""Black dairy or plant-alternative matrix context."", ""limitation"": ""Plant alternatives remain named source conditions."", ""feature_key"": ""feature.milk-mode"", ""partition_key"": ""partition.round3h.bollen"", ""source_method"": ""Study context"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/bollen_2024_sensory_scores.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""milk mode"", ""data_type"": ""CATEGORY"", ""semantics"": ""Black dairy or plant-alternative matrix context."", ""limitation"": ""Plant alternatives remain named source conditions."", ""feature_key"": ""feature.milk-mode"", ""partition_key"": ""partition.round3h.gorman"", ""source_method"": ""Study context"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch2/gorman_2021_liking_aggregates.tsv + gorman_2021_cata_terms.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""milk mode"", ""data_type"": ""CATEGORY"", ""semantics"": ""Black dairy or plant-alternative matrix context."", ""limitation"": ""Plant alternatives remain named source conditions."", ""feature_key"": ""feature.milk-mode"", ""partition_key"": ""partition.round3h.iswaldi"", ""source_method"": ""Study context"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/iswaldi_2026_table3_sensory_aggregates.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
