record_type	record_key	record_json
evidence_source_family	family.bollen-robusta-qgraders-2024	"{""admitted"": true, ""family_name"": ""Bollen Robusta Q-grader profiles"", ""family_type"": ""COFFEE_SENSORY"", ""introduced_round"": ""3H"", ""source_family_key"": ""family.bollen-robusta-qgraders-2024"", ""independence_basis"": ""Independent DRC Robusta source with one versioned Figshare workbook."", ""canonical_origin_key"": ""origin.doi.10.3389/fsufs.2024.1382976"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.coffee-cuality-experts-2026	"{""admitted"": true, ""family_name"": ""Guinard expert quality-method study"", ""family_type"": ""OTHER_RESEARCH"", ""introduced_round"": ""3H"", ""source_family_key"": ""family.coffee-cuality-experts-2026"", ""independence_basis"": ""Independent expert study; generic architecture is separate from trademarked forms and identity."", ""canonical_origin_key"": ""origin.doi.10.3390/foods15040678"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.condelli-consumer-cata-2022	"{""admitted"": true, ""family_name"": ""Condelli espresso consumer CATA"", ""family_type"": ""CONSUMER_STUDY"", ""introduced_round"": ""3H"", ""source_family_key"": ""family.condelli-consumer-cata-2022"", ""independence_basis"": ""Independent Italian consumer study used only for generic constructs and aggregate relations."", ""canonical_origin_key"": ""origin.doi.10.1111/1750-3841.16323"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.gorman-milk-consumers-2021	"{""admitted"": true, ""family_name"": ""Gorman milk-coffee consumers"", ""family_type"": ""CONSUMER_STUDY"", ""introduced_round"": ""3H"", ""source_family_key"": ""family.gorman-milk-consumers-2021"", ""independence_basis"": ""Independent Canadian consumer milk-coffee CATA and hedonic study."", ""canonical_origin_key"": ""origin.doi.10.3390/beverages7040080"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.heo-coldbrew-consumers-2019	"{""admitted"": true, ""family_name"": ""Heo cold-brew consumer CATA"", ""family_type"": ""CONSUMER_STUDY"", ""introduced_round"": ""3H"", ""source_family_key"": ""family.heo-coldbrew-consumers-2019"", ""independence_basis"": ""Independent Korean ordinary-consumer study; only its reduced observed term set is retained."", ""canonical_origin_key"": ""origin.doi.10.3390/foods8080344"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.iswaldi-rataconsumers-2026	"{""admitted"": true, ""family_name"": ""Iswaldi Indonesian RATA consumers"", ""family_type"": ""CONSUMER_STUDY"", ""introduced_round"": ""3H"", ""source_family_key"": ""family.iswaldi-rataconsumers-2026"", ""independence_basis"": ""Independent Indonesian ordinary-consumer sensory study and article aggregate."", ""canonical_origin_key"": ""origin.doi.10.1590/1981-6723.1062025"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.legacy-cotter-consumers	"{""admitted"": true, ""family_name"": ""Cotter black-coffee consumer evaluations"", ""family_type"": ""CONSUMER_STUDY"", ""introduced_round"": ""3H"", ""source_family_key"": ""family.legacy-cotter-consumers"", ""independence_basis"": ""Pre-existing independent Dryad consumer-study origin, registered in the relationship-evidence family table without creating a new Round 3I family gain."", ""canonical_origin_key"": ""origin.doi.10.25338/b8993h"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.liberica-ratapanel-2025	"{""admitted"": true, ""family_name"": ""Liberica coffee-bag RATA study"", ""family_type"": ""COFFEE_SENSORY"", ""introduced_round"": ""3G"", ""source_family_key"": ""family.liberica-ratapanel-2025"", ""independence_basis"": ""Independent Universitas Jember study; its workbook and the project-derived aggregate are one source family."", ""canonical_origin_key"": ""origin.doi.10.17632.m3n2gc4dv6.1"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.nguyen-pbma-thai-2026	"{""admitted"": true, ""family_name"": ""Nguyen Thai PBMA coffee panels"", ""family_type"": ""CONSUMER_STUDY"", ""introduced_round"": ""3H"", ""source_family_key"": ""family.nguyen-pbma-thai-2026"", ""independence_basis"": ""Independent Thai trained-panel and consumer PBMA-coffee study."", ""canonical_origin_key"": ""origin.doi.10.3390/foods15152583"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.vezzulli-trainedpanel-2022	"{""admitted"": true, ""family_name"": ""Vezzulli extraction-method trained panel"", ""family_type"": ""COFFEE_SENSORY"", ""introduced_round"": ""3H"", ""source_family_key"": ""family.vezzulli-trainedpanel-2022"", ""independence_basis"": ""Independent Italian trained-panel sensory study; chemistry supplement is excluded."", ""canonical_origin_key"": ""origin.doi.10.3390/foods11060807"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
evidence_source_family	family.wiktionary-revision-set-20260825	"{""admitted"": true, ""family_name"": ""Wiktionary exact-revision lexical review"", ""family_type"": ""BILINGUAL_LEXICAL"", ""introduced_round"": ""3G"", ""source_family_key"": ""family.wiktionary-revision-set-20260825"", ""independence_basis"": ""English and Chinese Wiktionary editions are kept as separate sources inside one conservative Wikimedia lexical family and are not counted as independent bilingual reviewers."", ""canonical_origin_key"": ""origin.wikimedia.wiktionary.revision-set-20260825"", ""counts_as_independent"": true, ""mirror_of_source_family_key"": null}"
