record_type	record_key	record_json
context_source_file	context.source_file.cotter_v4.data	"{""sha256"": ""931aff6185381d5079bf93c4727bbbe65ff58ecfb524d2d3b6046eead2009114"", ""row_count"": 3186, ""byte_count"": 542026, ""column_count"": 48, ""repository_path"": ""db/data/round3b/raw/cotter_2020_black_coffee/cotter_dataset.csv"", ""mirror_download_url"": ""https://zenodo.org/records/7542610/files/cotter_dataset.csv?download=1"", ""canonical_download_url"": ""https://datadryad.org/api/v2/files/2041575/download"", ""context_source_file_id"": 2, ""context_source_file_key"": ""context.source_file.cotter_v4.data"", ""context_source_review_id"": 1, ""imported_as_context_records"": true}"
context_source_file	context.source_file.cotter_v4.readme	"{""sha256"": ""f6d8f508bad2824a27be8785c841e8df4c75751b58726820f9e3dd226fe3fb5e"", ""row_count"": null, ""byte_count"": 8479, ""column_count"": null, ""repository_path"": ""db/data/round3b/raw/cotter_2020_black_coffee/README.txt"", ""mirror_download_url"": ""https://zenodo.org/records/7542610/files/README.txt?download=1"", ""canonical_download_url"": ""https://datadryad.org/api/v2/files/2041574/download"", ""context_source_file_id"": 1, ""context_source_file_key"": ""context.source_file.cotter_v4.readme"", ""context_source_review_id"": 1, ""imported_as_context_records"": false}"
context_source_file	context.source_file.yeager_v5.cga	"{""sha256"": ""3cd45f9640db5e1d3cff1e188daa56e64bf3aa5c0659b3d7319188da2d32a112"", ""row_count"": 1344, ""byte_count"": 1461458, ""column_count"": 33, ""repository_path"": ""db/data/round3b/raw/yeager_2021_acids_meta/Acids_in_Coffee_-CGAs.csv"", ""mirror_download_url"": ""https://zenodo.org/records/5083325/files/Acids_in_Coffee_-CGAs.csv?download=1"", ""canonical_download_url"": ""https://datadryad.org/api/v2/files/811668/download"", ""context_source_file_id"": 6, ""context_source_file_key"": ""context.source_file.yeager_v5.cga"", ""context_source_review_id"": 2, ""imported_as_context_records"": true}"
context_source_file	context.source_file.yeager_v5.oa	"{""sha256"": ""3de0483c14b310dfa0f960d0f5096df014483dcdb14ef217d239432c316b808d"", ""row_count"": 287, ""byte_count"": 36082, ""column_count"": 35, ""repository_path"": ""db/data/round3b/raw/yeager_2021_acids_meta/Acids_in_Coffee_-OAs.csv"", ""mirror_download_url"": ""https://zenodo.org/records/5083325/files/Acids_in_Coffee_-OAs.csv?download=1"", ""canonical_download_url"": ""https://datadryad.org/api/v2/files/811667/download"", ""context_source_file_id"": 5, ""context_source_file_key"": ""context.source_file.yeager_v5.oa"", ""context_source_review_id"": 2, ""imported_as_context_records"": true}"
context_source_file	context.source_file.yeager_v5.readme	"{""sha256"": ""6d6e6edb55cd46c02a957e8a84072d11a2b19ff2ac794b1ba132c8c6a3a11530"", ""row_count"": 79, ""byte_count"": 13689, ""column_count"": 13, ""repository_path"": ""db/data/round3b/raw/yeager_2021_acids_meta/ReadMe.xlsx"", ""mirror_download_url"": ""https://zenodo.org/records/5083325/files/ReadMe.xlsx?download=1"", ""canonical_download_url"": ""https://datadryad.org/api/v2/files/811666/download"", ""context_source_file_id"": 3, ""context_source_file_key"": ""context.source_file.yeager_v5.readme"", ""context_source_review_id"": 2, ""imported_as_context_records"": false}"
context_source_file	context.source_file.yeager_v5.references	"{""sha256"": ""d43166417e425f471be6d14d03d2c28a3eb5edf3c8ac30106c31b415ac46a9b5"", ""row_count"": 183, ""byte_count"": 50950, ""column_count"": 1, ""repository_path"": ""db/data/round3b/raw/yeager_2021_acids_meta/Acids_in_Coffee_-References.csv"", ""mirror_download_url"": ""https://zenodo.org/records/5083325/files/Acids_in_Coffee_-References.csv?download=1"", ""canonical_download_url"": ""https://datadryad.org/api/v2/files/811665/download"", ""context_source_file_id"": 4, ""context_source_file_key"": ""context.source_file.yeager_v5.references"", ""context_source_review_id"": 2, ""imported_as_context_records"": false}"
external_source_file	mendeley.coffee-taste-sensitivity.v1:mendeley_taste_sensitivity_v1/Coffee_sensory_information_data.xlsx	"{""file_role"": ""source_data"", ""pii_scan_pass"": true, ""declared_sha256"": ""1ef4bc85e81ff56e396c98108373a0b4626f89dc9c920f521b001979c590bab3"", ""exclusion_count"": 0, ""observed_sha256"": ""1ef4bc85e81ff56e396c98108373a0b4626f89dc9c920f521b001979c590bab3"", ""source_file_path"": ""mendeley_taste_sensitivity_v1/Coffee_sensory_information_data.xlsx"", ""declared_row_count"": 93, ""included_row_count"": 93, ""dataset_snapshot_key"": ""mendeley.coffee-taste-sensitivity.v1"", ""declared_field_count"": 13, ""counts_toward_snapshot"": true, ""raw_public_export_allowed"": true}"
external_source_file	mendeley.coffee-taste-sensitivity.v1:mendeley_taste_sensitivity_v1/file_inventory.json	"{""file_role"": ""repository_file_inventory"", ""pii_scan_pass"": true, ""declared_sha256"": ""2600818a4ef26b84b7b52c479137545c5c18c11779919e5edb0e670b3d8eb644"", ""exclusion_count"": 0, ""observed_sha256"": ""2600818a4ef26b84b7b52c479137545c5c18c11779919e5edb0e670b3d8eb644"", ""source_file_path"": ""mendeley_taste_sensitivity_v1/file_inventory.json"", ""declared_row_count"": 1, ""included_row_count"": 0, ""dataset_snapshot_key"": ""mendeley.coffee-taste-sensitivity.v1"", ""declared_field_count"": 5, ""counts_toward_snapshot"": false, ""raw_public_export_allowed"": true}"
external_source_file	mendeley.ftnir-specialty-coffee.v4.selected:mendeley_ftnir_v4/file_inventory.json	"{""file_role"": ""repository_file_inventory"", ""pii_scan_pass"": true, ""declared_sha256"": ""2303a63cfaecee7ca19104993c43b7b01a08dceb94c2fcde3df2977329d3c664"", ""exclusion_count"": 0, ""observed_sha256"": ""2303a63cfaecee7ca19104993c43b7b01a08dceb94c2fcde3df2977329d3c664"", ""source_file_path"": ""mendeley_ftnir_v4/file_inventory.json"", ""declared_row_count"": 18, ""included_row_count"": 0, ""dataset_snapshot_key"": ""mendeley.ftnir-specialty-coffee.v4.selected"", ""declared_field_count"": 5, ""counts_toward_snapshot"": false, ""raw_public_export_allowed"": true}"
external_source_file	mendeley.ftnir-specialty-coffee.v4.selected:mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	"{""file_role"": ""source_data"", ""pii_scan_pass"": true, ""declared_sha256"": ""71926de32c4d183c4c627efb00d5c32fa530844e92d5e4ea011f6d05e1a35a8e"", ""exclusion_count"": 0, ""observed_sha256"": ""71926de32c4d183c4c627efb00d5c32fa530844e92d5e4ea011f6d05e1a35a8e"", ""source_file_path"": ""mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx"", ""declared_row_count"": 128, ""included_row_count"": 128, ""dataset_snapshot_key"": ""mendeley.ftnir-specialty-coffee.v4.selected"", ""declared_field_count"": 12, ""counts_toward_snapshot"": true, ""raw_public_export_allowed"": true}"
