dataset	task	unit_of_observation	row_count	effective_independent_unit_count	label_type	label_source	source_families	largest_family_share	languages	preparation_coverage	roast_coverage	missingness	duplicate_rate	rights_regime	review_regime	split_feasibility	eligible	reason
LONGITUDINAL_ARCHIVE	professional descriptor normalization	source-defined; see label_type	26531	26531	mixed publication metadata/ranking/descriptor	LONGITUDINAL_ARCHIVE	11	UNKNOWN	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	PROVISIONAL_SOURCE_AUDIT	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
LONGITUDINAL_ARCHIVE	source-local descriptor classification	source-defined; see label_type	26531	26531	mixed publication metadata/ranking/descriptor	LONGITUDINAL_ARCHIVE	11	UNKNOWN	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	PROVISIONAL_SOURCE_AUDIT	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
LONGITUDINAL_ARCHIVE	consumer-language mapping	source-defined; see label_type	26531	26531	mixed publication metadata/ranking/descriptor	LONGITUDINAL_ARCHIVE	11	UNKNOWN	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	PROVISIONAL_SOURCE_AUDIT	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
LONGITUDINAL_ARCHIVE	context-conditioned candidate retrieval	source-defined; see label_type	26531	26531	mixed publication metadata/ranking/descriptor	LONGITUDINAL_ARCHIVE	11	UNKNOWN	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	PROVISIONAL_SOURCE_AUDIT	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
LONGITUDINAL_ARCHIVE	5+3 candidate ranking	source-defined; see label_type	26531	26531	mixed publication metadata/ranking/descriptor	LONGITUDINAL_ARCHIVE	11	UNKNOWN	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	PROVISIONAL_SOURCE_AUDIT	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
LONGITUDINAL_ARCHIVE	co-assertion estimation	source-defined; see label_type	26531	26531	mixed publication metadata/ranking/descriptor	LONGITUDINAL_ARCHIVE	11	UNKNOWN	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	PROVISIONAL_SOURCE_AUDIT	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
LONGITUDINAL_ARCHIVE	adaptive question selection	source-defined; see label_type	26531	26531	mixed publication metadata/ranking/descriptor	LONGITUDINAL_ARCHIVE	11	UNKNOWN	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	PROVISIONAL_SOURCE_AUDIT	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
LONGITUDINAL_ARCHIVE	stopping policy	source-defined; see label_type	26531	26531	mixed publication metadata/ranking/descriptor	LONGITUDINAL_ARCHIVE	11	UNKNOWN	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	PROVISIONAL_SOURCE_AUDIT	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
SOURCE_LOCAL_SENSORY	professional descriptor normalization	source-defined; see label_type	4344	230	incompatible RATA/CATA/intensity/hedonic/source-local	SOURCE_LOCAL_SENSORY	9	0.7334254143	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	SOURCE_GOVERNED	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
SOURCE_LOCAL_SENSORY	source-local descriptor classification	source-defined; see label_type	4344	230	incompatible RATA/CATA/intensity/hedonic/source-local	SOURCE_LOCAL_SENSORY	9	0.7334254143	en|unknown	SOURCE_LOCAL_OR_UNRESOLVED	PARTIAL_NO_DESCRIPTOR_INFERENCE	TASK_SPECIFIC_AUDIT_REQUIRED	NOT_POOLABLE_ACROSS_INCOMPATIBLE_SURFACES	REFERENCE_ONLY	SOURCE_GOVERNED	REFERENCE_ONLY_NOT_FITTING_ELIGIBLE	false	NO_TASK_SPECIFIC_RIGHTS_REVIEW_AND_GROUPED_LABEL_MANIFEST
