census_item_key	item_kind	parent_key	series_key	source_family_key	edition_label	year	country_or_community	category_or_round	official_url	discovery_basis	source_snapshot_sha256	corpus_state	acquisition_state	rights_state	attempt_status	note
series:avpa_coffees_roasted_at_origin	COMPETITION_SERIES		avpa_coffees_roasted_at_origin	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin		INTERNATIONAL_PRODUCT		https://en.avpa.fr/cafes	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Public annual winners do not expose the complete sensory sheets or reuse rights
series:best_of_panama	COMPETITION_SERIES		best_of_panama	best_of_panama	Best of Panama		ORIGIN_COUNTRY		https://bestofpanama.org/about2026	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Public result releases do not expose the complete judging dataset or reuse rights
series:coe	COMPETITION_SERIES		coe	coe	Cup of Excellence		ORIGIN_COUNTRY_PROGRAM		https://cupofexcellence.org/cup-of-excellence/	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Public auction and farm pages do not establish descriptor-reuse or model rights
series:global_coffee_awards	COMPETITION_SERIES		global_coffee_awards	global_coffee_awards	Global Coffee Awards		REGIONAL_AND_GLOBAL_ROASTER		https://globalcoffeeawards.com/	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Judging feedback is private; public winners pages do not confer reuse or model rights
series:golden_bean_americas	COMPETITION_SERIES		golden_bean_americas	golden_bean_americas	Golden Bean The Americas		REGIONAL_ROASTER		https://goldenbean.com/	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Some categories use pods, super-automatic service, milk, or specialized protocols and must remain separated
series:golden_bean_australasia	COMPETITION_SERIES		golden_bean_australasia	golden_bean_australasia	Golden Bean Australasia		REGIONAL_ROASTER		https://goldenbean.com.au/pages/about	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Entry-level scores and comments are not publicly inventoried
series:golden_bean_world_series	COMPETITION_SERIES		golden_bean_world_series	golden_bean_world_series	Golden Bean World Series		WORLD_ROASTER		https://goldenbean.com.au/pages/world-series	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Historical aggregate marketing counts are not record counts and are not imported
series:iiac_ict	COMPETITION_SERIES		iiac_ict	iiac_ict	International Coffee Tasting		INTERNATIONAL_PRODUCT		https://www.iiac.coffee/en/concorso	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Single-dose, instant, ready-to-drink, and concentrate categories are excluded or require separate authorization
series:melbourne_royal_aica	COMPETITION_SERIES		melbourne_royal_aica	melbourne_royal_aica	Australian International Coffee Awards		INTERNATIONAL_PRODUCT		https://www.melbourneroyal.com.au/about/news/melbourne-royal-announces-australian-international-coffee-awards-on-hold-in-2023/	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Official notice placed the awards on hold in 2023 and no verified return was found
series:royal_adelaide_coffee_show	COMPETITION_SERIES		royal_adelaide_coffee_show	royal_adelaide_coffee_show	Royal Adelaide Coffee Show		NATIONAL_PRODUCT		https://www.royaladelaidecoffeeshow.com.au/	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Organizer states the show is paused in 2026; score-level archive rights remain unknown
