presentation_slot_key	session_slot_key	beverage_sample_key	sequence_position	blinded_code
pilot.round3d.session_slot.reference.assessor_001.session_01.position_01	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_02.medium_dark.filter_percolation.rep_2	1	447
pilot.round3d.session_slot.reference.assessor_001.session_01.position_02	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_01.extremely_light.filter_percolation.rep_1	2	534
pilot.round3d.session_slot.reference.assessor_001.session_01.position_03	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_02.medium_dark.espresso_pressure.rep_2	3	773
pilot.round3d.session_slot.reference.assessor_001.session_01.position_04	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_01.medium.filter_percolation.rep_1	4	850
pilot.round3d.session_slot.reference.assessor_001.session_01.position_05	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_01.medium.cold_extraction.rep_2	5	305
pilot.round3d.session_slot.reference.assessor_001.session_01.position_06	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_01.extremely_dark.espresso_pressure.rep_1	6	367
pilot.round3d.session_slot.reference.assessor_001.session_01.position_07	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_02.extremely_dark.filter_percolation.rep_1	7	735
pilot.round3d.session_slot.reference.assessor_001.session_01.position_08	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_01.light.espresso_pressure.rep_1	8	431
pilot.round3d.session_slot.reference.assessor_001.session_01.position_09	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_02.dark.espresso_pressure.rep_2	9	285
pilot.round3d.session_slot.reference.assessor_001.session_01.position_10	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_02.medium_dark.immersion.rep_2	10	480
pilot.round3d.session_slot.reference.assessor_001.session_01.position_11	pilot.round3d.session_slot.reference.assessor_001.session_01	pilot.round3d.sample.lot_02.light.immersion.rep_2	11	120
pilot.round3d.session_slot.reference.assessor_001.session_02.position_01	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_01.medium.espresso_milk.rep_1	1	907
pilot.round3d.session_slot.reference.assessor_001.session_02.position_02	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_02.medium.cold_extraction.rep_2	2	915
pilot.round3d.session_slot.reference.assessor_001.session_02.position_03	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_02.light.cold_extraction.rep_2	3	754
pilot.round3d.session_slot.reference.assessor_001.session_02.position_04	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_02.extremely_dark.espresso_pressure.rep_1	4	932
pilot.round3d.session_slot.reference.assessor_001.session_02.position_05	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_01.dark.cold_extraction.rep_1	5	210
pilot.round3d.session_slot.reference.assessor_001.session_02.position_06	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_01.extremely_dark.filter_percolation.rep_2	6	753
pilot.round3d.session_slot.reference.assessor_001.session_02.position_07	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_01.medium_dark.filter_percolation.rep_2	7	960
pilot.round3d.session_slot.reference.assessor_001.session_02.position_08	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_01.medium.espresso_pressure.rep_2	8	259
pilot.round3d.session_slot.reference.assessor_001.session_02.position_09	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_01.dark.filter_percolation.rep_2	9	365
pilot.round3d.session_slot.reference.assessor_001.session_02.position_10	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_02.medium.hybrid.rep_1	10	896
pilot.round3d.session_slot.reference.assessor_001.session_02.position_11	pilot.round3d.session_slot.reference.assessor_001.session_02	pilot.round3d.sample.lot_01.medium_light.espresso_pressure.rep_1	11	274
pilot.round3d.session_slot.reference.assessor_001.session_03.position_01	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_02.medium.hybrid.rep_2	1	648
pilot.round3d.session_slot.reference.assessor_001.session_03.position_02	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_01.dark.espresso_milk.rep_2	2	597
pilot.round3d.session_slot.reference.assessor_001.session_03.position_03	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_02.medium_light.immersion.rep_2	3	617
pilot.round3d.session_slot.reference.assessor_001.session_03.position_04	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_01.medium.hybrid.rep_2	4	613
pilot.round3d.session_slot.reference.assessor_001.session_03.position_05	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_02.medium.cold_extraction.rep_1	5	643
pilot.round3d.session_slot.reference.assessor_001.session_03.position_06	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_01.light.immersion.rep_1	6	702
pilot.round3d.session_slot.reference.assessor_001.session_03.position_07	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_01.dark.hybrid.rep_2	7	850
pilot.round3d.session_slot.reference.assessor_001.session_03.position_08	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_02.medium_light.filter_percolation.rep_2	8	361
pilot.round3d.session_slot.reference.assessor_001.session_03.position_09	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_01.medium_dark.immersion.rep_2	9	587
pilot.round3d.session_slot.reference.assessor_001.session_03.position_10	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_01.light.hybrid.rep_1	10	938
pilot.round3d.session_slot.reference.assessor_001.session_03.position_11	pilot.round3d.session_slot.reference.assessor_001.session_03	pilot.round3d.sample.lot_02.light.diluted_espresso.rep_1	11	622
pilot.round3d.session_slot.reference.assessor_001.session_04.position_01	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_02.extremely_light.immersion.rep_2	1	889
pilot.round3d.session_slot.reference.assessor_001.session_04.position_02	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_02.light.hybrid.rep_1	2	214
pilot.round3d.session_slot.reference.assessor_001.session_04.position_03	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_01.light.cold_extraction.rep_2	3	227
pilot.round3d.session_slot.reference.assessor_001.session_04.position_04	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_02.extremely_dark.filter_percolation.rep_2	4	862
pilot.round3d.session_slot.reference.assessor_001.session_04.position_05	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_01.medium.diluted_espresso.rep_1	5	619
pilot.round3d.session_slot.reference.assessor_001.session_04.position_06	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_02.dark.hybrid.rep_2	6	879
pilot.round3d.session_slot.reference.assessor_001.session_04.position_07	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_02.medium_dark.filter_percolation.rep_1	7	362
pilot.round3d.session_slot.reference.assessor_001.session_04.position_08	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_02.medium_light.espresso_pressure.rep_1	8	723
pilot.round3d.session_slot.reference.assessor_001.session_04.position_09	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_02.medium_light.immersion.rep_1	9	351
pilot.round3d.session_slot.reference.assessor_001.session_04.position_10	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_02.light.espresso_pressure.rep_2	10	890
pilot.round3d.session_slot.reference.assessor_001.session_04.position_11	pilot.round3d.session_slot.reference.assessor_001.session_04	pilot.round3d.sample.lot_01.dark.espresso_pressure.rep_1	11	854
pilot.round3d.session_slot.reference.assessor_001.session_05.position_01	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_01.extremely_dark.immersion.rep_2	1	814
pilot.round3d.session_slot.reference.assessor_001.session_05.position_02	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_02.medium.espresso_pressure.rep_2	2	241
pilot.round3d.session_slot.reference.assessor_001.session_05.position_03	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_02.medium.immersion.rep_1	3	740
pilot.round3d.session_slot.reference.assessor_001.session_05.position_04	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_01.extremely_light.espresso_pressure.rep_2	4	121
pilot.round3d.session_slot.reference.assessor_001.session_05.position_05	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_02.medium_dark.immersion.rep_1	5	837
pilot.round3d.session_slot.reference.assessor_001.session_05.position_06	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_02.extremely_light.immersion.rep_1	6	488
pilot.round3d.session_slot.reference.assessor_001.session_05.position_07	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_02.medium.diluted_espresso.rep_1	7	475
pilot.round3d.session_slot.reference.assessor_001.session_05.position_08	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_02.light.filter_percolation.rep_1	8	329
pilot.round3d.session_slot.reference.assessor_001.session_05.position_09	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_02.dark.cold_extraction.rep_2	9	573
pilot.round3d.session_slot.reference.assessor_001.session_05.position_10	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_02.light.filter_percolation.rep_2	10	117
pilot.round3d.session_slot.reference.assessor_001.session_05.position_11	pilot.round3d.session_slot.reference.assessor_001.session_05	pilot.round3d.sample.lot_01.light.espresso_pressure.rep_2	11	796
pilot.round3d.session_slot.reference.assessor_001.session_06.position_01	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_01.extremely_light.espresso_pressure.rep_1	1	905
pilot.round3d.session_slot.reference.assessor_001.session_06.position_02	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_01.extremely_light.immersion.rep_2	2	795
pilot.round3d.session_slot.reference.assessor_001.session_06.position_03	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_01.medium_dark.espresso_pressure.rep_2	3	254
pilot.round3d.session_slot.reference.assessor_001.session_06.position_04	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_01.light.filter_percolation.rep_1	4	248
