session_slot_key	cohort_code	assessor_slot_code	session_number	sample_burden
pilot.round3d.session_slot.reference.assessor_001.session_01	reference	REFERENCE_SLOT_001	1	11
pilot.round3d.session_slot.reference.assessor_001.session_02	reference	REFERENCE_SLOT_001	2	11
pilot.round3d.session_slot.reference.assessor_001.session_03	reference	REFERENCE_SLOT_001	3	11
pilot.round3d.session_slot.reference.assessor_001.session_04	reference	REFERENCE_SLOT_001	4	11
pilot.round3d.session_slot.reference.assessor_001.session_05	reference	REFERENCE_SLOT_001	5	11
pilot.round3d.session_slot.reference.assessor_001.session_06	reference	REFERENCE_SLOT_001	6	11
pilot.round3d.session_slot.reference.assessor_002.session_01	reference	REFERENCE_SLOT_002	1	11
pilot.round3d.session_slot.reference.assessor_002.session_02	reference	REFERENCE_SLOT_002	2	11
pilot.round3d.session_slot.reference.assessor_002.session_03	reference	REFERENCE_SLOT_002	3	11
pilot.round3d.session_slot.reference.assessor_002.session_04	reference	REFERENCE_SLOT_002	4	11
pilot.round3d.session_slot.reference.assessor_002.session_05	reference	REFERENCE_SLOT_002	5	11
pilot.round3d.session_slot.reference.assessor_002.session_06	reference	REFERENCE_SLOT_002	6	11
pilot.round3d.session_slot.reference.assessor_003.session_01	reference	REFERENCE_SLOT_003	1	11
pilot.round3d.session_slot.reference.assessor_003.session_02	reference	REFERENCE_SLOT_003	2	11
pilot.round3d.session_slot.reference.assessor_003.session_03	reference	REFERENCE_SLOT_003	3	11
pilot.round3d.session_slot.reference.assessor_003.session_04	reference	REFERENCE_SLOT_003	4	11
pilot.round3d.session_slot.reference.assessor_003.session_05	reference	REFERENCE_SLOT_003	5	11
pilot.round3d.session_slot.reference.assessor_003.session_06	reference	REFERENCE_SLOT_003	6	11
pilot.round3d.session_slot.reference.assessor_004.session_01	reference	REFERENCE_SLOT_004	1	11
pilot.round3d.session_slot.reference.assessor_004.session_02	reference	REFERENCE_SLOT_004	2	11
pilot.round3d.session_slot.reference.assessor_004.session_03	reference	REFERENCE_SLOT_004	3	11
pilot.round3d.session_slot.reference.assessor_004.session_04	reference	REFERENCE_SLOT_004	4	11
pilot.round3d.session_slot.reference.assessor_004.session_05	reference	REFERENCE_SLOT_004	5	11
pilot.round3d.session_slot.reference.assessor_004.session_06	reference	REFERENCE_SLOT_004	6	11
