beverage_sample_key	coffee_lot_key	roast_batch_key	preparation_condition_key	replicate_number	record_origin_code
pilot.round3d.sample.lot_01.extremely_light.filter_percolation.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_light	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_01.extremely_light.filter_percolation.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_light	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_01.extremely_light.immersion.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_light	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_01.extremely_light.immersion.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_light	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_01.extremely_light.espresso_pressure.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_light	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_01.extremely_light.espresso_pressure.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_light	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_01.light.filter_percolation.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_01.light.filter_percolation.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_01.light.immersion.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_01.light.immersion.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_01.light.espresso_pressure.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_01.light.espresso_pressure.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_01.medium_light.filter_percolation.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_light	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_01.medium_light.filter_percolation.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_light	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_01.medium_light.immersion.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_light	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_01.medium_light.immersion.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_light	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_01.medium_light.espresso_pressure.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_light	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_01.medium_light.espresso_pressure.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_light	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
