artifact_receipt_key	lane_key	census_item_key	canonical_url	retrieval_url	http_status	media_type	sha256	byte_count	inventory_basis
artifact-0501c672e05db59c29ca97a9876854a9	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/wp-content/uploads/2017/10/results2004.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2004.jpeg	200		411ef0108aa06b0e3bb0a08cd9b2e9dc1340a153ddec7f08221517b195c23cab	326016	HASHED_ATTEMPT
artifact-068b790252e802b24f463cf649444235	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/wp-content/uploads/2017/10/results2009.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2009.jpeg	200		a4ae3bae55ffb5dd0c4e725f7837139358fbcaa949a41ae8056cf01836a25f52	312818	HASHED_ATTEMPT
artifact-1681ff379998f49479e97453f7effa14	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/auctions2001-2017/	https://scap-panama.com/auctions2001-2017/	200		35e531efdd10aacac4d0a607fdda015ede3d2462a483bb5ba0f45f873e878d80	86609	HASHED_ATTEMPT
artifact-3d889d27dc6183e672837b97b12c8d54	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/wp-content/uploads/2017/10/results2010.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2010.jpeg	200		9eb4efb8510ed6307fcb0222008eb92f24082d68ac3306d08b2919c48cabe932	363374	HASHED_ATTEMPT
artifact-573568600dc42ed07cfdc7ca47374584	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/wp-content/uploads/2017/10/results2008.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2008.jpeg	200		e26025f1f71d9f058ec40e58c9601a7f578b0e78456a17d7bf9a0c7b7ae5d97e	438537	HASHED_ATTEMPT
artifact-63a4fd047a14d4949e9b79273afbf7b6	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/wp-content/uploads/2017/10/results2006.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2006.jpeg	200		731652272d5a1aa9b5d9fb2827a4e938c24ecd6f506b31a212ae2cbd6f6e26cb	565887	HASHED_ATTEMPT
artifact-7f9b902153565abaf23f9a655dcedf8a	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/wp-content/uploads/2017/10/results2014.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2014.jpeg	200		cd3bbe9e8887f3c7da77645e62cbb124d6fb5b895bd691a368136e14115ee77e	458029	HASHED_ATTEMPT
artifact-8ca755e664e8cba9077f8b5fa2364f32	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/wp-content/uploads/2017/10/Best-of-Panama-2016-Coffee-Auction-Results.pdf	https://scap-panama.com/wp-content/uploads/2017/10/Best-of-Panama-2016-Coffee-Auction-Results.pdf	200		64cd8933d21deeb12e9b0f7550f8058fe26eb04c03dc102710d71085b803dbd4	210088	HASHED_ATTEMPT
artifact-8d5b5ea09149f70b2acf977a9bbe9a0c	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/wp-content/uploads/2017/10/results2005.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2005.jpeg	200		e175b6e9820ea966262fab03308d921b20c1a0c12ca521eea2c4d9c3aaa41d0e	444912	HASHED_ATTEMPT
artifact-923bbb8f3575e9fd2693cc7425bcb081	bop_historical_continuation	source:bop_results_archive	https://scap-panama.com/wp-content/uploads/2017/10/results2011.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2011.jpeg	200		d85fdd81de5116c237b1c76e54daa3a063dbd95eeac345d6a707c60f2931a1a2	649783	HASHED_ATTEMPT
