attempt_key	census_item_key	lane_key	attempt_sequence	attempted_at	acquisition_method	outcome	canonical_url	final_url	http_status	source_snapshot_sha256	artifact_byte_count	parsed_row_count	normalized_record_count	descriptor_assertion_count	external_action_type	next_cursor
bop-historical-scap-index	source:bop_results_archive	bop_historical_continuation	1	2026-08-28T02:06:58Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/auctions2001-2017/	https://scap-panama.com/auctions2001-2017/	200	35e531efdd10aacac4d0a607fdda015ede3d2462a483bb5ba0f45f873e878d80	86609	13	0	0		bop-historical-2004
bop-historical-2004	source:bop_results_archive	bop_historical_continuation	2	2026-08-28T02:07:20Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2004.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2004.jpeg	200	411ef0108aa06b0e3bb0a08cd9b2e9dc1340a153ddec7f08221517b195c23cab	326016	11	11	0		bop-historical-2005
bop-historical-2005	source:bop_results_archive	bop_historical_continuation	3	2026-08-28T02:07:18Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2005.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2005.jpeg	200	e175b6e9820ea966262fab03308d921b20c1a0c12ca521eea2c4d9c3aaa41d0e	444912	21	21	0		bop-historical-2006
bop-historical-2006	source:bop_results_archive	bop_historical_continuation	4	2026-08-28T02:07:16Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2006.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2006.jpeg	200	731652272d5a1aa9b5d9fb2827a4e938c24ecd6f506b31a212ae2cbd6f6e26cb	565887	31	31	0		bop-historical-2007
bop-historical-2007	source:bop_results_archive	bop_historical_continuation	5	2026-08-28T02:07:15Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2007.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2007.jpeg	200	573e1803b3b30c79f1d8c804ee474d32543bb28d54717cf7044c01dae4b9c51d	626522	25	25	0		bop-historical-2008
bop-historical-2008	source:bop_results_archive	bop_historical_continuation	6	2026-08-28T02:07:13Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2008.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2008.jpeg	200	e26025f1f71d9f058ec40e58c9601a7f578b0e78456a17d7bf9a0c7b7ae5d97e	438537	19	19	0		bop-historical-2009
bop-historical-2009	source:bop_results_archive	bop_historical_continuation	7	2026-08-28T02:07:11Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2009.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2009.jpeg	200	a4ae3bae55ffb5dd0c4e725f7837139358fbcaa949a41ae8056cf01836a25f52	312818	16	16	0		bop-historical-2010
bop-historical-2010	source:bop_results_archive	bop_historical_continuation	8	2026-08-28T02:07:10Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2010.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2010.jpeg	200	9eb4efb8510ed6307fcb0222008eb92f24082d68ac3306d08b2919c48cabe932	363374	20	20	0		bop-historical-2011
bop-historical-2011	source:bop_results_archive	bop_historical_continuation	9	2026-08-28T02:07:08Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2011.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2011.jpeg	200	d85fdd81de5116c237b1c76e54daa3a063dbd95eeac345d6a707c60f2931a1a2	649783	30	30	0		bop-historical-2012
bop-historical-2012	source:bop_results_archive	bop_historical_continuation	10	2026-08-28T02:07:06Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2012.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2012.jpeg	200	a5013d4d4a304aa47ea66d2fb603127c6d41bb122cb9f75bc224db32988fa885	226096	30	30	0		bop-historical-2013
bop-historical-2013	source:bop_results_archive	bop_historical_continuation	11	2026-08-28T02:07:05Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2013.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2013.jpeg	200	4ddcc04d735335b92993cea65dd7a67c9e824b6a153d94d3397a07a1d45eeece	372100	47	47	0		bop-historical-2014
bop-historical-2014	source:bop_results_archive	bop_historical_continuation	12	2026-08-28T02:07:03Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2014.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2014.jpeg	200	cd3bbe9e8887f3c7da77645e62cbb124d6fb5b895bd691a368136e14115ee77e	458029	50	50	0		bop-historical-2015
bop-historical-2015	source:bop_results_archive	bop_historical_continuation	13	2026-08-28T02:07:02Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/results2015.jpeg	https://scap-panama.com/wp-content/uploads/2017/10/results2015.jpeg	200	a85e66d65d8af711cf4eaf6544905b42e04ba410d17f4c10f0f718590b644e88	354045	46	46	0		bop-historical-2016
bop-historical-2016	source:bop_results_archive	bop_historical_continuation	14	2026-08-28T02:07:00Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://scap-panama.com/wp-content/uploads/2017/10/Best-of-Panama-2016-Coffee-Auction-Results.pdf	https://scap-panama.com/wp-content/uploads/2017/10/Best-of-Panama-2016-Coffee-Auction-Results.pdf	200	64cd8933d21deeb12e9b0f7550f8058fe26eb04c03dc102710d71085b803dbd4	210088	49	49	0		bop-historical-2001-2003-reconciliation
coe-bop-bop-legacy-auction-2016-app	source:bop_results_archive	coe_bop	1	2026-08-28T02:03:04Z	PUBLIC_OFFICIAL_HTTP_HEAD	NOT_FOUND	https://app.bestofpanama.auction/auction/2016	https://app.bestofpanama.auction/auction/2016	404		0	0	0	0		best-of-panama-pre-2017-next-official-route
coe-bop-bop-legacy-auction-2016-framer	source:bop_results_archive	coe_bop	2	2026-08-28T02:03:04Z	PUBLIC_OFFICIAL_HTTP_HEAD	NOT_FOUND	https://bestofpanama.auction/auction-2016	https://bestofpanama.auction/auction-2016	404		0	0	0	0		best-of-panama-pre-2017-next-official-route
coe-bop-bop-pre-2017-organizer-route	source:bop_results_archive	coe_bop	3	2026-08-28T02:03:04Z	OFFICIAL_ARCHIVE_RECONCILIATION	BLOCKED_EXTERNAL_ACTION	https://bestofpanama.org/resultados				0	0	0	0	ORGANIZER_RESPONSE	best-of-panama-pre-2017-organizer-owned-public-route-discovery
coe-bop-bop-results-pdf-edition-ambiguity	source:bop_results_archive	coe_bop	4	2026-08-28T02:03:04Z	OFFICIAL_ARCHIVE_RECONCILIATION	BLOCKED_EXTERNAL_ACTION	https://bestofpanama.org/resultados				0	0	0	0	ORGANIZER_RESPONSE	retain-pdf-hash-without-edition-assignment
coe-bop-bopabout2026	source:bop_2026_about	coe_bop	5	2026-08-28T01:41:34Z	PUBLIC_OFFICIAL_HTTP_GET	COMPLETED	https://bestofpanama.org/about2026	https://bestofpanama.org/about2026	200	642ab05db3a89e39c36595622571df291c3e28d527dfdc6e0404b2767a133d17	106067	0	0	0		complete:bop_about_2026.html
